poi_id,poi_name,original_share,counterfactual_share,share_change,dist_to_removed_m,freq,category
Big Eye Sushi|40.693452|-73.986081,Big Eye Sushi,0.009508789014468246,0.010395765914776482,0.0008869769003082353,171.32386171447482,108,Limited-Service Restaurants
Next Level Burgers|40.686035|-73.978400,Next Level Burgers,0.015003448147083931,0.01588646075883939,0.0008830126117554578,1190.4571971207738,200,Snack and Nonalcoholic Beverage Bars
A & T Ventures|40.693025|-73.987559,A & T Ventures,0.010943294302323282,0.011795274601527033,0.0008519802992037508,100.97787444623765,131,Full-Service Restaurants
La Defense|40.693533|-73.985421,La Defense,0.006277303519796262,0.007102486631642935,0.0008251831118466727,223.87281005229607,87,Full-Service Restaurants
Hale and Hearty Soups|40.693484|-73.985856,Hale and Hearty Soups,0.007992557383603601,0.008782541863905096,0.0007899844803014953,188.88377143012897,106,Limited-Service Restaurants
Angelica Pizzeria & Restaurant|40.687820|-73.981633,Angelica Pizzeria & Restaurant,0.009142887417357243,0.009923160655436417,0.0007802732380791742,861.6604837661614,104,Full-Service Restaurants
Jay Street Finest Deli|40.691884|-73.987492,Jay Street Finest Deli,0.009661204587271783,0.010388172645745875,0.0007269680584740916,224.12573761900518,107,Limited-Service Restaurants
Thai Cheong Salad Plus|40.691476|-73.986823,Thai Cheong Salad Plus,0.014767009248116638,0.015460149776110522,0.0006931405279938848,283.8994062538356,127,Limited-Service Restaurants
Sixpoint Brewery at City Point|40.690805|-73.983512,Sixpoint Brewery at City Point,0.009595331482172205,0.010287021333121867,0.000691689850949662,510.8443887716286,118,Full-Service Restaurants
Maison Kayser|40.692019|-73.990995,Maison Kayser,0.012183545603362697,0.012847298650432576,0.0006637530470698788,322.0379773503382,125,Limited-Service Restaurants
McDonald's|40.689401|-73.980715,McDonald's,0.011093371418054663,0.011698112113881994,0.000604740695827331,791.8386000740917,208,Limited-Service Restaurants
Golden Krust Caribbean Restaurant|40.691786|-73.986160,Golden Krust Caribbean Restaurant,0.005651264062490874,0.006232413371645229,0.0005811493091543553,279.5645279884893,71,Full-Service Restaurants
Brother's Kitchen|40.690492|-73.985292,Brother's Kitchen,0.008197307361716021,0.008763642446189277,0.0005663350844732559,440.08751941965346,104,Limited-Service Restaurants
Bokki Seoul Food|40.692794|-73.988243,Bokki Seoul Food,0.004973332012451137,0.005497410041439007,0.0005240780289878701,119.29872729263529,76,Full-Service Restaurants
Harry O's|40.692575|-73.986504,Harry O's,0.007236459437524088,0.007757531401756609,0.0005210719642325208,192.62153976506144,86,Full-Service Restaurants
Metro Star Cafe|40.692632|-73.986935,Metro Star Cafe,0.006100956537733776,0.006619154663303433,0.0005181981255696572,165.02868108347585,79,Snack and Nonalcoholic Beverage Bars
Cesar's Gourmet Cafe|40.688871|-73.982153,Cesar's Gourmet Cafe,0.011706354884060032,0.012218979659637296,0.0005126247755772636,744.1634459545124,117,Snack and Nonalcoholic Beverage Bars
Hook & Reel Cajun Seafood & Bar|40.690693|-73.983615,Hook & Reel Cajun Seafood & Bar,0.007426244819095433,0.00793480113734993,0.0005085563182544968,512.8445476725701,102,Full-Service Restaurants
sweetgreen|40.689897|-73.992057,sweetgreen,0.013702770757348368,0.014200374157404846,0.0004976034000564785,555.3218135666505,149,Limited-Service Restaurants
Five Guys|40.693563|-73.986000,Five Guys,0.006375177355964005,0.006821861521422084,0.0004466841654580788,175.21396350934594,95,Limited-Service Restaurants
White Noise Coffee Co|40.689704|-73.988210,White Noise Coffee Co,0.005065977438466581,0.005486585661420074,0.00042060822295349274,461.89856229468523,86,Snack and Nonalcoholic Beverage Bars
The Wei|40.689772|-73.981666,The Wei,0.008723414290823746,0.009137443781398066,0.00041402949057432054,703.7070451732898,107,Full-Service Restaurants
Kazi Halal|40.692429|-73.991103,Kazi Halal,0.007386560536283237,0.007800112173082018,0.0004135516367987811,302.9495627752932,111,Full-Service Restaurants
Juice Press|40.692493|-73.991536,Juice Press,0.007617468874410019,0.00802412331862077,0.00040665444421075087,331.27861979066853,93,Snack and Nonalcoholic Beverage Bars
Subway|40.684809|-73.976668,Subway,0.006438324582989796,0.0068185268622957896,0.00038020227930599376,1389.8409338740619,87,Limited-Service Restaurants
Norm's Pizza|40.692869|-73.988569,Norm's Pizza,0.00424388197342067,0.004623771094623514,0.0003798891212028442,118.40199855990112,81,Full-Service Restaurants
Metro Finest Deli|40.688570|-73.984422,Metro Finest Deli,0.0037372086023852585,0.004105120237120716,0.0003679116347354572,662.2940890304255,116,Limited-Service Restaurants
Cafe Paulette|40.689612|-73.975897,Cafe Paulette,0.003676722668859363,0.00404247071219208,0.0003657480433327167,1127.4715758750315,65,Full-Service Restaurants
Sophie's Cuban Cuisine|40.690662|-73.987533,Sophie's Cuban Cuisine,0.00642440489501066,0.006790127103851931,0.0003657222088412713,357.73988056352607,72,Full-Service Restaurants
Gregory's Coffee|40.693772|-73.990991,Gregory's Coffee,0.006173527071244489,0.006532937059884318,0.00035940998863982863,248.8012132613839,68,Snack and Nonalcoholic Beverage Bars
Gourmet Garden 8|40.689657|-73.978398,Gourmet Garden 8,0.005099845822680866,0.0054434547539348455,0.00034360893125397977,937.6185187946245,48,Full-Service Restaurants
Rocco's Tacos & Tequila Bar|40.693216|-73.988550,Rocco's Tacos & Tequila Bar,0.0033229634494386334,0.003654273801554683,0.00033131035211604945,83.058637969449,69,Full-Service Restaurants
Nuts & Bolts|40.693402|-73.991465,Nuts & Bolts,0.006071002351263672,0.006394915669979474,0.00032391331871580234,292.97101508635717,83,Snack and Nonalcoholic Beverage Bars
Sterling Cafe|40.692002|-73.989680,Sterling Cafe,0.0035439171423311956,0.003855499531232995,0.00031158238890179957,248.13591594792138,43,Limited-Service Restaurants
Patty Plus Restaurant & Bakery|40.687933|-73.981864,Patty Plus Restaurant & Bakery,0.004252696723256128,0.004552978303119603,0.0003002815798634753,839.6908802150532,66,Full-Service Restaurants
Cesar's Cafe|40.686244|-73.978287,Cesar's Cafe,0.0029391203865863436,0.00320533732048581,0.00026621693389946655,1180.2061524797161,69,Full-Service Restaurants
Debutea Brooklyn|40.689322|-73.988425,Debutea Brooklyn,0.00418116617172942,0.004441943400364766,0.00026077722863534613,505.1908638919098,77,Snack and Nonalcoholic Beverage Bars
Pure Green|40.688744|-73.990626,Pure Green,0.00469815541021523,0.0049539468065047595,0.00025579139628952984,608.7483263911021,75,Snack and Nonalcoholic Beverage Bars
Nge Corporation|40.696393|-73.988253,Nge Corporation,0.006356512139166323,0.0066105956173926955,0.00025408347822637213,282.66183356696007,83,Full-Service Restaurants
Greene Bites|40.689699|-73.978042,Greene Bites,0.006737471342341098,0.0069733618822754185,0.00023589053993432023,961.5089367830601,83,Full-Service Restaurants
Mamma Mia Pizza|40.691755|-73.987520,Mamma Mia Pizza,0.005496759241700269,0.005727531243798132,0.0002307720020978633,237.72970367773044,79,Full-Service Restaurants
Paris Baguette|40.691126|-73.991507,Paris Baguette,0.003276109805229182,0.003500506743750808,0.00022439693852162584,421.29886453299235,81,Full-Service Restaurants
The Skyline Gourmet|40.692055|-73.986145,The Skyline Gourmet,0.004002590429065685,0.004204288796285305,0.00020169836721961945,256.2892924923489,78,Limited-Service Restaurants
BKG Coffee|40.689568|-73.987909,BKG Coffee,0.004211443231860264,0.004409523498553323,0.00019808026669305891,476.9356844303827,66,Snack and Nonalcoholic Beverage Bars
Mr Fulton|40.691490|-73.986405,Mr Fulton,0.003495950982231454,0.0036846235663163217,0.00018867258408486768,297.0911081294228,64,Full-Service Restaurants
Luv N Oven Pizza|40.689692|-73.977578,Luv N Oven Pizza,0.0020202212682397394,0.0022028220311319543,0.0001826007628922149,996.351189831787,56,Full-Service Restaurants
Burger King|40.692141|-73.988343,Burger King,0.003477123794351643,0.003656238058365202,0.00017911426401355903,192.3804141049095,65,Limited-Service Restaurants
Chuck E. Cheese's|40.684448|-73.977358,Chuck E. Cheese's,0.0024129618696039096,0.0025908185043526963,0.00017785663474878663,1380.5213066772055,66,Limited-Service Restaurants
The Coffee Bean & Tea Leaf|40.693826|-73.982881,The Coffee Bean & Tea Leaf,0.0015526945863066708,0.0017157721050023282,0.00016307751869565736,435.1288825617996,25,Limited-Service Restaurants
Black Walnut Public House|40.689557|-73.987886,Black Walnut Public House,0.0020822586518611506,0.002241151111265358,0.00015889245940420727,478.20789649675197,38,Full-Service Restaurants
McDonald's|40.681348|-73.966936,McDonald's,0.0022525633309809206,0.0024048326019044026,0.00015226927092348201,2258.607465177436,62,Limited-Service Restaurants
Shake Shack|40.682738|-73.976779,Shake Shack,0.0028765829818236297,0.003028763913554471,0.00015218093173084138,1558.9028730331736,62,Limited-Service Restaurants
Hot Chix|40.689705|-73.978321,Hot Chix,0.0023059413535155707,0.002450724131519142,0.00014478277800357127,940.6230414732572,34,Limited-Service Restaurants
Archives Restaurant|40.693660|-73.988174,Archives Restaurant,0.0012034137418482748,0.0013452285571860687,0.0001418148153377939,24.471128275931697,32,Snack and Nonalcoholic Beverage Bars
Brooklyn Pizza|40.687392|-73.976841,Brooklyn Pizza,0.0021632272298076293,0.0022916156615584334,0.00012838843175080406,1186.795945422038,43,Full-Service Restaurants
Hummus Inc|40.691193|-73.982870,Hummus Inc,0.002534250193895296,0.0026606421168325987,0.00012639192293730254,527.0899424910463,67,Full-Service Restaurants
Dunkin'|40.692191|-73.991296,Dunkin',0.0023174198321600755,0.0024420328214831643,0.0001246129893230888,330.96953623593726,65,Snack and Nonalcoholic Beverage Bars
Smashburger|40.689712|-73.979607,Smashburger,0.0015755652576229006,0.001693800441477621,0.00011823518385472047,847.3979831494805,54,Limited-Service Restaurants
IHOP|40.689026|-73.983596,IHOP,0.002637637525189379,0.0027524264594237452,0.0001147889342343663,654.9485372486505,119,Full-Service Restaurants
Jose O'Shea|40.691572|-73.984642,Jose O'Shea,0.0009128708050171077,0.0010166843594569966,0.00010381355443988887,382.97611529289486,30,Full-Service Restaurants
States Express Deli|40.687751|-73.984390,States Express Deli,0.0020460318166864483,0.0021485212664457106,0.00010248944975926226,745.411492422277,30,Limited-Service Restaurants
New Apollo Diner|40.690505|-73.987505,New Apollo Diner,0.0013921309269930133,0.0014911978006795028,9.906687368648956e-05,375.3546957333166,63,Full-Service Restaurants
Golden Krust Caribbean Bakery and Grill|40.688086|-73.980068,Golden Krust Caribbean Bakery and Grill,0.0027792905365318426,0.0028751395262738805,9.584898974203783e-05,929.3210255070111,50,Full-Service Restaurants
Pura Vida Empanadas|40.686477|-73.978910,Pura Vida Empanadas,0.0010721120639362834,0.0011660248138420988,9.391274990581543e-05,1125.1895677497525,38,Snack and Nonalcoholic Beverage Bars
Starbucks|40.691735|-73.988524,Starbucks,0.0010143630880275435,0.0011076622466828182,9.329915865527471e-05,239.31985294934623,46,Snack and Nonalcoholic Beverage Bars
Xifu Food|40.688006|-73.982083,Xifu Food,0.001941372761938684,0.002027870280526912,8.649751858822775e-05,821.9243906929206,48,Full-Service Restaurants
Smith Food Express|40.690721|-73.987473,Smith Food Express,0.0009344587765106835,0.0010128438515418334,7.838507503114985e-05,351.8815315639944,31,Full-Service Restaurants
Jean Hee Food Corporation|40.692091|-73.985937,Jean Hee Food Corporation,0.001338392263013238,0.0014138273910272528,7.543512801401475e-05,264.60122412750803,62,Full-Service Restaurants
