cluster,name,removed_share,top_gainers
1,DTBK Local Affluent,0.05062690292749487,Wingstop(+0.616%); U Kiss(+0.615%); Teranga Brooklyn(+0.598%); McDonald's(+0.487%); Jasper H Kane Dining Hall(+0.409%)
2,NYU Tandon Faculty/Staff,0.04177402501816455,Jasper H Kane Dining Hall(+0.500%); Lanafay(+0.453%); DGGD Coffee Shop(+0.430%); Nge Corporation(+0.325%); Starbucks(+0.318%)
3,Black Middle-Income,0.09087311949539251,Yossi's Cart(+0.677%); McDonald's(+0.630%); Ils Wayport(+0.611%); Hale and Hearty Soups(+0.535%); Korilla BBQ(+0.496%)
4,Low-Income Service Workers,0.015616000646184297,McDonald's(+0.079%); Teranga Brooklyn(+0.070%); Nevins Foodmart(+0.068%); Greene Bites(+0.067%); Maison Kayser(+0.064%)
5,White Professional Commuters,0.10735618602898174,Jasper H Kane Dining Hall(+0.706%); McDonald's(+0.703%); DGGD Coffee Shop(+0.682%); Cammareri Bakery & Cafe(+0.655%); Starbucks(+0.499%)
6,Asian Tandon Workforce,0.05223150881241886,sweetgreen(+0.455%); Cesar's Gourmet Cafe(+0.452%); Juice Press(+0.345%); Sophie's Cuban Cuisine(+0.330%); Jasper H Kane Dining Hall(+0.323%)
7,Mixed-Race Moderate-Income,0.0513556734912477,Buffalo Wild Wings(+0.268%); McDonald's(+0.262%); Cammareri Bakery & Cafe(+0.252%); Thai Cheong Salad Plus(+0.240%); Teranga Brooklyn(+0.222%)
